author_id,work_id,author_name,work_title,coverage
tlg0299,tlg001,TERPANDER,TERPANDER :: Fragmenta (fort. auctore Terpandro) :: TLG 0299 001,tlg
tlg0299,tlg002,TERPANDER,TERPANDER :: Fragmentum (fort. auctore Terpandro) :: TLG 0299 002,tlg
tlg0300,tlg001,ACTA ALEXANDRINORUM,ACTA ALEXANDRINORUM :: Acta Alexandrinorum :: TLG 0300 001,tlg
tlg0301,tlg001,THESPIS,THESPIS :: Fragmenta :: TLG 0301 001,tlg
tlg0302,tlg001,CHOERILUS,CHOERILUS :: Fragmenta :: TLG 0302 001,tlg
tlg0303,tlg001,PHRYNICHUS,PHRYNICHUS :: Fragmenta :: TLG 0303 001,tlg
tlg0304,tlg001,ACTA ET MARTYRIUM APOLLONII,ACTA ET MARTYRIUM APOLLONII :: Acta et martyrium Apollonii :: TLG 0304 001,tlg
tlg0305,tlg001,ARISTIAS,ARISTIAS :: Fragmenta :: TLG 0305 001,tlg
tlg0306,tlg001,ARISTARCHUS,ARISTARCHUS :: Fragmenta :: TLG 0306 001,tlg
tlg0307,tlg001,NEOPHRON,NEOPHRON :: Fragmenta :: TLG 0307 001,tlg
tlg0308,tlg001,ION,ION :: Fragmenta :: TLG 0308 001,tlg
tlg0308,tlg002,ION,ION :: Fragmenta :: TLG 0308 002,tlg
tlg0308,tlg003,ION,ION :: Fragmenta :: TLG 0308 003,tlg
tlg0308,tlg004,ION,ION :: Fragmentum :: TLG 0308 004,tlg
tlg0308,tlg005,ION,ION :: Tituli :: TLG 0308 005,tlg
tlg0308,tlg006,ION,ION :: Testimonia :: TLG 0308 006,tlg
tlg0308,tlg007,ION,ION :: Fragmenta :: TLG 0308 007,tlg
tlg0308,tlg008,ION,ION :: Testimonia :: TLG 0308 008,tlg
tlg0308,tlg009,ION,ION :: Fragmenta :: TLG 0308 009,tlg
tlg0309,tlg001,ACHAEUS,ACHAEUS :: Fragmenta :: TLG 0309 001,tlg
tlg0310,tlg001,CARCINUS,CARCINUS :: Fragmentum :: TLG 0310 001,tlg
tlg0311,tlg001,IOPHON,IOPHON :: Fragmenta :: TLG 0311 001,tlg
tlg0312,tlg001,PHILOCLES,PHILOCLES :: Fragmenta :: TLG 0312 001,tlg
tlg0313,tlg001,THEOGNIS,THEOGNIS :: Fragmentum :: TLG 0313 001,tlg
tlg0314,tlg001,MORSIMUS,MORSIMUS :: Fragmentum :: TLG 0314 001,tlg
tlg0315,tlg001,STHENELUS,STHENELUS :: Fragmentum :: TLG 0315 001,tlg
tlg0315,tlg002,STHENELUS,STHENELUS :: Fragmentum :: TLG 0315 002,tlg
tlg0316,tlg001,XENOCLES,XENOCLES :: Fragmentum :: TLG 0316 001,tlg
tlg0317,tlg001,ACTA JOANNIS,ACTA JOANNIS :: Acta Joannis :: TLG 0317 001,bot
tlg0317,tlg002,ACTA JOANNIS,ACTA JOANNIS :: Acta Joannis (recensio) :: TLG 0317 002,bot
tlg0318,tlg001,AGATHON,AGATHON :: Fragmenta :: TLG 0318 001,tlg
tlg0319,tlg001,CRITIAS,CRITIAS :: Fragmenta :: TLG 0319 001,tlg
tlg0319,tlg002,CRITIAS,CRITIAS :: Fragmenta :: TLG 0319 002,tlg
tlg0319,tlg003,CRITIAS,CRITIAS :: Testimonia :: TLG 0319 003,tlg
tlg0319,tlg004,CRITIAS,CRITIAS :: Fragmenta :: TLG 0319 004,bot
tlg0319,tlg005,CRITIAS,CRITIAS :: Pirithous (fragmenta) (P. Oxy. 17.2078 + 50.3531) :: TLG 0319 005,tlg
tlg0320,tlg001,DIOGENES,DIOGENES :: Fragmentum :: TLG 0320 001,tlg
tlg0321,tlg001,AESCHYLUS,AESCHYLUS :: Fragmentum :: TLG 0321 001,tlg
tlg0321,tlg002,AESCHYLUS,AESCHYLUS :: Testimonium :: TLG 0321 002,tlg
tlg0321,tlg003,AESCHYLUS,AESCHYLUS :: Titulus :: TLG 0321 003,tlg
tlg0322,tlg001,DICAEOGENES,DICAEOGENES :: Fragmenta :: TLG 0322 001,tlg
tlg0323,tlg001,ANTIPHON,ANTIPHON :: Fragmenta :: TLG 0323 001,tlg
tlg0324,tlg001,PATROCLES,PATROCLES :: Fragmenta :: TLG 0324 001,tlg
tlg0325,tlg001,ASTYDAMAS,ASTYDAMAS :: Fragmenta :: TLG 0325 001,tlg
tlg0326,tlg001,SOPHOCLES Junior,SOPHOCLES Junior :: Fragmentum :: TLG 0326 001,tlg
tlg0327,tlg001,CARCINUS Junior,CARCINUS Junior :: Fragmenta :: TLG 0327 001,tlg
tlg0328,tlg001,CHAEREMON,CHAEREMON :: Fragmenta :: TLG 0328 001,tlg
tlg0329,tlg001,THEODECTAS,THEODECTAS :: Fragmenta :: TLG 0329 001,tlg
tlg0330,tlg001,DIONYSIUS I,DIONYSIUS I :: Fragmenta :: TLG 0330 001,tlg
tlg0330,tlg002,DIONYSIUS I,DIONYSIUS I :: Testimonium :: TLG 0330 002,tlg
tlg0331,tlg001,〈POLYIDUS〉,〈POLYIDUS〉 :: Fragmentum :: TLG 0331 001,tlg
tlg0332,tlg001,CLEAENETUS,CLEAENETUS :: Fragmenta :: TLG 0332 001,tlg
tlg0333,tlg001,TIMOCLES,TIMOCLES :: Fragmentum :: TLG 0333 001,tlg
tlg0334,tlg001,DIOGENES,DIOGENES :: Fragmenta :: TLG 0334 001,tlg
tlg0335,tlg001,PHILISCUS,PHILISCUS :: Fragmentum :: TLG 0335 001,tlg
tlg0336,tlg001,CRATES,CRATES :: Fragmentum :: TLG 0336 001,tlg
tlg0336,tlg002,CRATES,CRATES :: Fragmenta :: TLG 0336 002,tlg
tlg0336,tlg003,CRATES,CRATES :: Epigrammata :: TLG 0336 003,tlg
tlg0336,tlg004,CRATES,CRATES :: Fragmenta et titulus :: TLG 0336 004,tlg
tlg0337,tlg001,PYTHON,PYTHON :: Fragmentum :: TLG 0337 001,tlg
tlg0338,tlg001,SOSIPHANES,SOSIPHANES :: Fragmenta :: TLG 0338 001,tlg
tlg0339,tlg001,MOSCHION,MOSCHION :: Fragmenta :: TLG 0339 001,tlg
tlg0340,tlg001,SOSITHEUS,SOSITHEUS :: Fragmenta :: TLG 0340 001,tlg
tlg0341,tlg001,LYCOPHRON,LYCOPHRON :: Fragmenta :: TLG 0341 001,tlg
tlg0341,tlg002,LYCOPHRON,LYCOPHRON :: Alexandra :: TLG 0341 002,bot
tlg0342,tlg001,NICOMACHUS,NICOMACHUS :: Fragmenta :: TLG 0342 001,tlg
tlg0343,tlg001,EZECHIEL,EZECHIEL :: Ἐξαγωγή :: TLG 0343 001,tlg
tlg0344,tlg001,MELANTHIUS,MELANTHIUS :: Fragmentum :: TLG 0344 001,tlg
tlg0345,tlg001,APOLLONIDES,APOLLONIDES :: Fragmenta :: TLG 0345 001,tlg
tlg0346,tlg001,POMPEIUS MACER,POMPEIUS MACER :: Fragmentum :: TLG 0346 001,tlg
tlg0347,tlg001,SERAPION,SERAPION :: Fragmentum :: TLG 0347 001,tlg
tlg0348,tlg001,BIOTUS,BIOTUS :: Fragmentum :: TLG 0348 001,tlg
tlg0349,tlg001,DEMONAX,DEMONAX :: Fragmenta :: TLG 0349 001,tlg
tlg0350,tlg001,〈DIONYSIUS SCYMNAEUS〉,〈DIONYSIUS SCYMNAEUS〉 :: Fragmentum :: TLG 0350 001,tlg
tlg0351,tlg001,[HIPPOTHOON],[HIPPOTHOON] :: Fragmenta :: TLG 0351 001,tlg
tlg0352,tlg001,ISIDORUS,ISIDORUS :: Fragmenta :: TLG 0352 001,tlg
tlg0353,tlg001,〈SCLERIAS〉,〈SCLERIAS〉 :: Fragmenta :: TLG 0353 001,tlg
tlg0354,tlg001,ZENODOTUS,ZENODOTUS :: Fragmentum :: TLG 0354 001,tlg
tlg0355,tlg001,ZOPYRUS,ZOPYRUS :: Fragmentum :: TLG 0355 001,tlg
tlg0357,tlg001,DIDYMUS Scriptor De Mensuris,DIDYMUS Scriptor De Mensuris :: Mensurae marmorum ac lignorum :: TLG 0357 001,bot
tlg0358,tlg001,NICOMACHUS,NICOMACHUS :: Introductio arithmetica :: TLG 0358 001,bot
tlg0358,tlg002,NICOMACHUS,NICOMACHUS :: Harmonicum enchiridion :: TLG 0358 002,bot
tlg0358,tlg003,NICOMACHUS,NICOMACHUS :: Theologoumena arithmeticae :: TLG 0358 003,tlg
tlg0358,tlg004,NICOMACHUS,NICOMACHUS :: Excerpta :: TLG 0358 004,bot
tlg0358,tlg005,Nicomachus of Gerasa,Problemata arithmetica,leg
tlg0359,tlg001,ISIDORUS Scriptor Hymnorum,ISIDORUS Scriptor Hymnorum :: Hymni in Isim :: TLG 0359 001,tlg
tlg0360,tlg002,ARMENIDAS,ARMENIDAS :: Fragmenta :: TLG 0360 002,tlg
tlg0361,tlg001,CLEONIDES,CLEONIDES :: Introductio harmonica :: TLG 0361 001,bot
tlg0362,tlg001,Carmina Delphis Inventa,Carmina Delphis Inventa,leg
tlg0363,tlg001,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Syntaxis mathematica :: TLG 0363 001,bot
tlg0363,tlg002,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Phaseis :: TLG 0363 002,tlg
tlg0363,tlg003,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Hypotheses :: TLG 0363 003,tlg
tlg0363,tlg004,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Inscriptio Canobi :: TLG 0363 004,tlg
tlg0363,tlg005,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Προχείρων κανόνων διάταξις καὶ ψηφοφορία :: TLG 0363 005,tlg
tlg0363,tlg006,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: De analemmate :: TLG 0363 006,tlg
tlg0363,tlg007,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Apotelesmatica (= Tetrabiblos) :: TLG 0363 007,bot
tlg0363,tlg008,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: De judicandi facultate et animi principatu :: TLG 0363 008,tlg
tlg0363,tlg009,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Geographia (lib. 1–3) :: TLG 0363 009,tlg
tlg0363,tlg010,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Harmonica :: TLG 0363 010,tlg
tlg0363,tlg011,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Musica :: TLG 0363 011,bot
tlg0363,tlg012,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Fragmenta :: TLG 0363 012,tlg
tlg0363,tlg014,Claudius PTOLEMAEUS,Claudius PTOLEMAEUS :: Geographia (lib. 4–8) :: TLG 0363 014,tlg
tlg0364,tlg001,DANAÏS vel DANAÏDES,DANAÏS vel DANAÏDES :: Danaïs vel Danaïdes (fragmentum) :: TLG 0364 001,tlg
tlg0365,tlg001,APOLLODORUS,APOLLODORUS :: Fragmentum :: TLG 0365 001,tlg
tlg0366,tlg001,LASUS,LASUS :: Fragmentum :: TLG 0366 001,tlg
tlg0366,tlg002,LASUS,LASUS :: Tituli :: TLG 0366 002,tlg
tlg0367,tlg001,TYNNICHUS,TYNNICHUS :: Fragmentum :: TLG 0367 001,tlg
tlg0368,tlg001,CYDIAS,CYDIAS :: Fragmentum :: TLG 0368 001,tlg
tlg0369,tlg001,TELESILLA,TELESILLA :: Fragmenta :: TLG 0369 001,tlg
tlg0370,tlg001,LAMPROCLES,LAMPROCLES :: Fragmenta :: TLG 0370 001,tlg
tlg0371,tlg001,DIAGORAS,DIAGORAS :: Fragmenta :: TLG 0371 001,tlg
tlg0372,tlg001,PRAXILLA,PRAXILLA :: Fragmenta :: TLG 0372 001,tlg
tlg0373,tlg001,MELANIPPIDES,MELANIPPIDES :: Fragmenta :: TLG 0373 001,tlg
tlg0374,tlg001,LICYMNIUS,LICYMNIUS :: Fragmenta :: TLG 0374 001,tlg
tlg0374,tlg002,LICYMNIUS,LICYMNIUS :: Titulus :: TLG 0374 002,tlg
tlg0375,tlg001,CINESIAS,CINESIAS :: Fragmentum :: TLG 0375 001,tlg
tlg0375,tlg002,CINESIAS,CINESIAS :: Titulus :: TLG 0375 002,tlg
tlg0376,tlg001,TIMOTHEUS,TIMOTHEUS :: Fragmenta :: TLG 0376 001,tlg
tlg0376,tlg002,TIMOTHEUS,TIMOTHEUS :: Tituli :: TLG 0376 002,tlg
tlg0377,tlg001,TELESTES,TELESTES :: Fragmenta :: TLG 0377 001,tlg
tlg0377,tlg002,TELESTES,TELESTES :: Titulus :: TLG 0377 002,tlg
tlg0378,tlg001,ARIPHRON,ARIPHRON :: Fragmentum :: TLG 0378 001,tlg
tlg0379,tlg001,PHILOXENUS,PHILOXENUS :: Fragmenta :: TLG 0379 001,tlg
tlg0379,tlg002,PHILOXENUS,PHILOXENUS :: Tituli :: TLG 0379 002,tlg
tlg0380,tlg001,PHILOXENUS,PHILOXENUS :: Fragmenta :: TLG 0380 001,tlg
tlg0380,tlg002,PHILOXENUS,PHILOXENUS :: Fragmentum [Sp.] :: TLG 0380 002,tlg
tlg0381,tlg001,LYCOPHRONIDES,LYCOPHRONIDES :: Fragmenta :: TLG 0381 001,tlg
tlg0382,tlg001,CASTORION,CASTORION :: Fragmentum :: TLG 0382 001,tlg
tlg0382,tlg002,CASTORION,CASTORION :: Fragmenta :: TLG 0382 002,tlg
tlg0383,tlg001,ALCAEUS,ALCAEUS :: Fragmenta :: TLG 0383 001,tlg
tlg0383,tlg002,ALCAEUS,ALCAEUS :: Fragmentis addenda :: TLG 0383 002,tlg
tlg0383,tlg003,ALCAEUS,ALCAEUS :: Fragmenta :: TLG 0383 003,tlg
tlg0384,tlg001,ACTA JUSTINI ET SEPTEM SODALIUM,ACTA JUSTINI ET SEPTEM SODALIUM :: Acta Justini et septem sodalium (recensio A) :: TLG 0384 001,tlg
tlg0384,tlg002,ACTA JUSTINI ET SEPTEM SODALIUM,ACTA JUSTINI ET SEPTEM SODALIUM :: Acta Justini et septem sodalium (recensio B) :: TLG 0384 002,tlg
tlg0384,tlg003,ACTA JUSTINI ET SEPTEM SODALIUM,ACTA JUSTINI ET SEPTEM SODALIUM :: Acta Justini et septem sodalium (recensio C) :: TLG 0384 003,tlg
tlg0385,tlg001,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae :: TLG 0385 001,bot
tlg0385,tlg002,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (versio 1 in volumine 1) :: TLG 0385 002,tlg
tlg0385,tlg003,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (versio 1 in volumine 2) :: TLG 0385 003,tlg
tlg0385,tlg004,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (versio 1 in volumine 3) :: TLG 0385 004,tlg
tlg0385,tlg005,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (versio 2 in volumine 1) :: TLG 0385 005,tlg
tlg0385,tlg006,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (versio 2 in volumine 2) :: TLG 0385 006,tlg
tlg0385,tlg007,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (versio 2 in volumine 3) :: TLG 0385 007,tlg
tlg0385,tlg008,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (versio 3 in volumine 1) :: TLG 0385 008,tlg
tlg0385,tlg009,CASSIUS DIO,CASSIUS DIO :: Reliquiae incertae sedis :: TLG 0385 009,tlg
tlg0385,tlg010,CASSIUS DIO,CASSIUS DIO :: Historiae Romanae (Xiphilini epitome) :: TLG 0385 010,tlg
